"brand","sales_year","countryfull","avg_discount_per_unit","avg_discount_percent","total_discount_amount","total_actual_revenue","total_base_revenue"
"Adventure Works","2015","Netherlands","55.89","6.76",3089.354951334906,41805.4829799551,44894.83793129001
"A. Datum","2015","Canada","21.59","5.85",2932.696679808003,40637.430648192,43570.127328
"Contoso ","2015","Australia","41.27","7.88",2647.8126540847443,40546.56718596526,43194.37984005
"The Phone Company","2015","Germany","22.71","5.10",1508.0269418999887,40100.3290701,41608.35601199999
"Southridge Video","2015","Canada","6.21","6.30",3390.1380304331105,39867.64913115689,43257.78716159
"Litware","2015","United Kingdom","16.77","5.92",1787.3067466477441,37683.616585502255,39470.92333215
"Contoso ","2015","Germany","32.82","5.76",2342.416251069757,36253.841920880244,38596.25817195
"The Phone Company","2015","Australia","28.63","5.29",2374.0496542799883,36219.416625720005,38593.46627999999
"Litware","2015","Germany","61.43","6.68",3848.342635347748,35440.70809575224,39289.05073109999
"Litware ","2015","United States","21.95","3.59",1708.0320000000065,35136.768,36844.8
"Southridge Video","2015","United Kingdom","4.80","5.76",1964.6313686953654,30929.911323024615,32894.54269171998
"Southridge Video","2015","Australia","5.17","7.24",1136.2989489880056,28226.183416981996,29362.48236597
"The Phone Company","2015","Italy","21.67","4.53",1253.511969659994,26192.955404340006,27446.467374
"Litware","2015","Canada","8.90","5.50",1263.0854846984912,24139.576413976505,25402.661898674996
"A. Datum","2015","Italy","16.21","4.89",866.6261426879973,21792.373356512,22658.999499199996
"Tailspin Toys","2015","United States","1.61","5.96",1448.7306680000038,20936.577732,22385.308400000005
"Southridge Video","2015","Germany","4.61","6.31",1135.2666658607013,20579.0792494393,21714.3459153
"Contoso ","2015","Netherlands","12.40","2.56",175.2253619999974,19181.18654175,19356.41190375
"Fabrikam  ","2015","Italy","79.57","6.12",1507.3663343999979,18236.5648336,19743.931168
"Fabrikam  ","2015","France","100.20","6.71",1083.5546592000028,17029.999180799998,18113.55384
"Contoso ","2015","France","34.04","7.56",1061.7989718944991,17021.3310086805,18083.129980575
"Fabrikam  ","2015","Netherlands","99.56","7.25",937.5556943999945,16646.477073600003,17584.032767999997
"A. Datum","2015","Australia","32.60","7.10",1437.4208811199987,15031.486328480003,16468.9072096
"Proseware","2015","Germany","26.79","6.80",1147.584280499499,14871.244208475498,16018.828488974998
"Wide World Importers","2015","Italy","11.11","5.77",787.6485779700015,14567.991732405,15355.640310375002
"The Phone Company","2015","France","25.36","5.71",609.5510283600015,14191.25176764,14800.802796000002
"Southridge Video","2015","Netherlands","5.81","4.19",834.7785763537995,13952.400127356203,14787.178703710002
"The Phone Company","2015","Netherlands","32.46","7.00",704.0737753199992,13574.93612868,14279.009903999999
"Proseware","2015","France","26.27","6.83",651.835298009999,13118.15656599,13769.991864
"A. Datum","2015","Netherlands","36.45","7.92",978.078926240003,12941.694350559997,13919.7732768
"Northwind Traders","2015","United Kingdom","7.42","4.13",413.55516584025645,12266.121455034745,12679.676620875001
"A. Datum","2015","France","40.31","7.00",1288.8648956800007,12129.901144319998,13418.766039999999
"Southridge Video","2015","Italy","5.64","5.82",807.2958893504001,12095.7693082396,12903.06519759
"Northwind Traders","2015","Italy","15.66","5.90",785.746299092998,11671.758301932,12457.504601024999
"Contoso ","2015","Italy","28.34","6.27",637.0819305210007,11275.583330078998,11912.665260599999
"Proseware","2015","Australia","16.64","7.77",751.9805362149946,10713.514072885002,11465.494609099997
"Litware ","2015","United Kingdom","32.28","7.11",896.1158699040006,10589.977160496,11486.093030400001
"Fabrikam","2015","Netherlands","39.70","6.18",542.3874120090004,10407.725722291001,10950.113134300002
"Proseware","2015","Italy","106.19","6.60",1162.154070878496,9746.213068571502,10908.367139449998
"Wide World Importers","2015","France","33.42","9.64",1007.3583999760021,8078.2321237239985,9085.5905237
"Southridge Video","2015","France","9.21","6.88",560.7503682310999,7027.549916178901,7588.300284410001
"Northwind Traders","2015","Canada","3.40","6.61",364.84373333700114,6524.190473463,6889.034206800001
"Litware ","2015","Netherlands","22.36","4.67",412.2505367200001,6023.60289528,6435.853432
"Northwind Traders","2015","Germany","15.91","6.92",640.9542252585006,5815.5319560914995,6456.48618135
"Proseware","2015","Netherlands","19.50","5.17",211.38340450000032,5424.8899955,5636.2734
"Litware ","2015","Australia","0.00","0.00",0,5393.690904000001,5393.690904000001
"Northwind Traders","2015","Netherlands","36.46","9.60",719.0638018844993,5173.861913365501,5892.92571525
"Tailspin Toys","2015","United Kingdom","1.13","5.30",259.6583506337829,5069.248140358216,5328.906490991999
"Tailspin Toys","2015","Canada","1.37","6.77",317.5958748528965,4928.788862377103,5246.38473723
"Litware","2015","Italy","5.09","2.00",55.97120520000044,4736.44153965,4792.41274485
"Litware ","2015","Germany","33.65","7.17",301.93827087999944,4015.80978512,4317.748055999999
"Litware ","2015","Canada","44.10","8.00",324.27908279999974,3976.6136292,4300.892712
"Tailspin Toys","2015","Italy","1.71","6.26",199.7372575575996,3811.5775384624008,4011.3147960200004
"Litware","2015","France","18.17","5.22",317.06573607525024,3632.18508632475,3949.2508224000003
"Tailspin Toys","2015","Germany","1.63","6.00",256.74421964030034,3486.7830252297,3743.5272448700002
"Northwind Traders","2015","France","21.02","5.56",207.36537311024995,2736.50400438975,2943.8693775
"Tailspin Toys","2015","Australia","1.01","5.07",79.90189814669975,2132.5484328533003,2212.450331
"Northwind Traders","2015","Australia","5.74","6.60",163.73412661500015,1666.0457288100001,1829.7798554250003
"Litware ","2015","Italy","57.53","9.00",163.15401024000016,1649.66832576,1812.8223360000002
"Adventure Works ","2015","United States","2.38","1.75",38.0777599999999,1457.83424,1495.9119999999998
"Tailspin Toys","2015","Netherlands","1.51","6.00",82.93319346759995,1298.9970827624002,1381.9302762300001
"Tailspin Toys","2015","France","2.29","8.94",85.91986945780002,691.8499864821999,777.76985594
"Litware","2015","Netherlands","16.85","8.00",50.596857614999976,414.766621035,465.36347865
"Adventure Works ","2015","United Kingdom","13.60","10.00",27.848033783999995,250.632304056,278.48033784
"Adventure Works ","2015","Canada","0.00","0.00",0,168.41793248,168.41793248
"Adventure Works","2016","United States","56.34","6.01",71643.57313500089,1175163.3763650008,1246806.9495000017
"Wide World Importers","2016","United States","36.44","5.72",56317.16582500038,842617.6841750003,898934.8500000007
"Contoso","2016","United States","13.92","5.95",39820.342829999165,593935.6466700005,633755.9894999997
"Fabrikam","2016","United States","44.69","5.87",30364.644799999543,496414.3801999999,526779.0249999994
"The Phone Company","2016","United States","30.53","5.86",31779.03600000008,483523.1640000003,515302.20000000036
"Proseware","2016","United States","42.53","5.95",24212.799524999864,349347.45797499997,373560.25749999983
"Adventure Works","2016","United Kingdom","61.28","6.30",21268.172430026694,299424.2623767383,320692.434806765
"Contoso ","2016","United States","28.19","5.32",15588.141824999999,286904.4081749999,302492.5499999999
"Adventure Works","2016","Canada","58.87","6.09",21002.35400905006,274548.90589007497,295551.259899125
"Wide World Importers","2016","Canada","39.52","6.71",23965.26883708866,272296.3832145863,296261.65205167496
"Litware","2016","United States","26.18","5.91",14486.339874999743,224149.9251249999,238636.26499999964
"Fabrikam  ","2016","United States","67.64","5.72",13119.327999999921,220514.27200000006,233633.59999999998
"Wide World Importers","2016","United Kingdom","34.08","6.11",15078.052824009326,197901.31978651576,212979.37261052508
"Fabrikam","2016","Canada","49.86","6.04",10886.567958406493,188524.61494521843,199411.18290362493
"Adventure Works","2016","Germany","43.07","5.99",8825.841319337633,172976.05502488228,181801.89634421992
"A. Datum","2016","United States","26.01","5.89",11270.947200000082,169055.9328,180326.8800000001
"Contoso","2016","Canada","9.82","5.66",8957.317192352202,153946.58548894283,162903.90268129503
"Wide World Importers","2016","Australia","24.27","4.88",6414.6594459692715,152157.53013043076,158572.18957640004
"Adventure Works","2016","Italy","66.12","5.70",12229.925736290345,151963.0074610547,164192.93319734503
"Fabrikam","2016","United Kingdom","47.18","5.70",9353.248227999808,143008.70030135024,152361.94852935005
"Southridge Video","2016","United States","4.69","6.24",8005.42231000014,140000.42069000006,148005.8430000002
"The Phone Company","2016","Canada","33.24","6.39",7754.226211260044,135322.49998674,143076.72619800005
"Contoso","2016","United Kingdom","12.65","6.12",8021.806016965391,132876.27702196472,140898.0830389301
"The Phone Company","2016","United Kingdom","34.73","6.20",8326.657002240056,122529.05501976,130855.71202200005
"Contoso","2016","Germany","7.57","5.45",5487.347012181766,119428.85886567827,124916.20587786003
"Proseware","2016","United Kingdom","42.66","5.96",7328.485051332755,118073.27355854228,125401.75860987503
"Wide World Importers","2016","Germany","30.70","6.38",6400.111735322978,117685.18006830198,124085.29180362496
"Contoso ","2016","Canada","37.17","6.26",7667.544096165002,100135.23164038501,107802.77573655001
"Adventure Works","2016","Australia","84.02","6.59",8576.840079236383,95339.33210540362,103916.17218464
"Contoso","2016","Australia","7.63","5.65",2895.220210946398,95029.44943925357,97924.66965019997
"The Phone Company","2016","Germany","28.80","5.77",6180.479066700034,94525.21166129998,100705.69072800002
"Fabrikam","2016","Germany","53.15","8.10",8128.740411061954,89593.51124971303,97722.25166077499
"Proseware","2016","Germany","84.49","7.51",8695.33936789949,87804.19935432551,96499.538722225
"Proseware","2016","Canada","35.33","6.44",4197.123819647473,77062.22834110251,81259.35216074999
"Contoso ","2016","United Kingdom","34.96","6.32",4727.185667216254,68120.44330758377,72847.62897480003
"Fabrikam  ","2016","Germany","50.57","5.71",1881.4686247999925,67975.50236720001,69856.970992
"Adventure Works","2016","Netherlands","57.93","7.25",4795.540169864806,67896.6034569152,72692.14362678
"Fabrikam  ","2016","United Kingdom","113.74","7.83",5253.038311040022,64930.84634496,70183.88465600002
"Fabrikam  ","2016","Canada","137.11","9.38",6609.432670079979,64641.081537920014,71250.514208
"Contoso","2016","Italy","14.02","6.31",4841.8399379186885,63801.6828754913,68643.52281340999
"Contoso ","2016","Germany","34.98","6.62",4188.343029499505,56418.474120700506,60606.81715020001
"Northwind Traders","2016","United States","9.42","6.19",4318.082475000076,54772.22002499997,59090.30250000005
"Litware","2016","United Kingdom","25.85","6.03",3996.2844945697434,52817.696359505266,56813.98085407501
"Contoso ","2016","Australia","22.83","4.00",2045.7299008612608,52570.402924938746,54616.13282580001
"Fabrikam","2016","Australia","27.46","5.61",2133.870520814002,51313.138699086005,53447.00921990001
"The Phone Company","2016","Australia","33.91","6.72",3449.2777509600055,48950.22902904,52399.50678
"Adventure Works","2016","France","36.57","5.63",1347.3995788491957,48371.33849463081,49718.73807348
"Wide World Importers","2016","France","37.68","4.80",2537.223117096757,46590.55805392825,49127.78117102501
"Southridge Video","2016","Canada","6.31","6.17",2808.5727933946837,45616.6654408353,48425.23823422998
"Wide World Importers","2016","Italy","28.48","6.74",3599.6643500339997,45206.86061554101,48806.52496557501
"Contoso","2016","Netherlands","14.48","5.89",2927.4920087296996,45157.896532855295,48085.388541584995
"A. Datum","2016","Canada","31.30","6.69",3225.818393984009,41957.70547161599,45183.5238656
"Southridge Video","2016","United Kingdom","6.20","6.03",2669.0537563946855,39741.49092874529,42410.544685139976
"Fabrikam","2016","Netherlands","56.66","6.62",3901.15008712525,38416.10978362475,42317.25987075
"Proseware","2016","Australia","44.16","6.29",3290.0479834189973,37836.190865756,41126.238849174995
"Proseware","2016","Italy","23.05","4.12",811.6217365000048,37457.49195619999,38269.1136927
"Litware","2016","Canada","22.74","5.93",3556.2312649792584,37101.85269612075,40658.08396110001
"Northwind Traders","2016","Canada","11.22","5.57",1498.2538616137463,35846.40865126125,37344.662512874995
"Litware ","2016","United States","31.10","6.25",2369.816000000006,34529.384,36899.200000000004
"Fabrikam","2016","Italy","31.89","3.80",788.9453565175063,34112.1897746075,34901.135131125004
"Fabrikam  ","2016","Italy","68.38","4.00",2193.760232000008,33359.149831999996,35552.910064
"Proseware","2016","Netherlands","80.48","5.22",3330.522621399996,32238.103314850003,35568.62593625
"Contoso ","2016","Italy","28.77","6.60",2167.2279781500074,31749.866940599994,33917.09491875
"Contoso","2016","France","5.08","4.81",369.06138280469895,31398.803838615302,31767.86522142
"Fabrikam  ","2016","Netherlands","61.14","6.14",1874.946984000002,29656.062375999998,31531.00936
"The Phone Company","2016","Italy","32.89","6.54",1900.326122999999,29419.444557000003,31319.77068
"A. Datum","2016","United Kingdom","32.91","7.64",2399.580694160006,29032.483641839994,31432.064336
"A. Datum","2016","Australia","14.32","4.57",1309.4895093599953,29000.131169040003,30309.6206784
"Litware","2016","Italy","23.49","8.23",1157.6808776052567,27357.55272406975,28515.233601675005
"Wide World Importers","2016","Netherlands","9.11","4.07",662.937411326744,26234.651677073252,26897.589088399996
"A. Datum","2016","Germany","20.79","6.00",1399.9191999359937,24619.614516864003,26019.533716799997
"Southridge Video","2016","Australia","4.02","4.65",869.5136977386028,23689.824161231405,24559.337858970008
"Fabrikam  ","2016","Australia","88.02","7.29",2584.6766334400018,23456.27637456,26040.953008
"Tailspin Toys","2016","United States","1.41","5.74",1107.0374420000117,22321.024557999994,23428.062000000005
"Litware","2016","Netherlands","73.82","9.88",3030.8777778059994,20881.856380569,23912.734158375
"Litware","2016","Germany","11.40","6.59",940.0984266464948,20493.295306378503,21433.393733024997
"The Phone Company","2016","Netherlands","29.61","6.29",1072.5953895000057,19681.917034499995,20754.512424
"Southridge Video","2016","Germany","3.89","5.45",1042.1428211784005,19278.75979315161,20320.90261433001
"A. Datum","2016","Netherlands","22.94","6.46",1481.2111780800005,18303.029509919998,19784.240687999998
"A. Datum","2016","Italy","19.27","4.10",669.5739708799993,17156.883030719997,17826.457001599996
"A. Datum","2016","France","30.76","7.53",1886.0842618080023,16500.899778191997,18386.98404
"Contoso ","2016","Netherlands","15.31","4.73",305.1217082332496,15914.25297381675,16219.37468205
"The Phone Company","2016","France","31.73","6.33",1179.0009923399975,14860.946841660003,16039.947834
"Litware ","2016","United Kingdom","17.73","4.13",341.79480224000145,13415.589477759999,13757.38428
"Proseware","2016","France","194.80","11.13",1720.0867147500012,13357.28888525,15077.375600000001
"Litware","2016","Australia","25.19","6.87",1161.1638794534992,13349.1454299465,14510.3093094
"Contoso ","2016","France","32.27","7.09",1061.2157445750017,11504.369129024999,12565.5848736
"Southridge Video","2016","Italy","4.50","5.27",527.7576153573973,10836.381453752601,11364.139069109999
"Fabrikam","2016","France","43.17","8.63",654.3109055874993,10660.5688013625,11314.87970695
"Northwind Traders","2016","United Kingdom","4.71","5.61",602.0852131912507,10581.783074433748,11183.868287624999
"Litware ","2016","Canada","15.93","5.33",323.28174392000074,9192.02726408,9515.309008
"Southridge Video","2016","Netherlands","5.61","5.56",635.4205088560011,7952.412077624,8587.83258648
"Tailspin Toys","2016","United Kingdom","2.50","5.97",577.9567099305987,6925.159619729399,7503.116329659998
"Litware","2016","France","10.00","3.22",388.3875099300003,5866.760042895,6255.147552825
"Fabrikam  ","2016","France","68.80","9.00",514.015872,5847.409248,6361.42512
"Northwind Traders","2016","Australia","10.71","6.93",426.5493000607503,5172.261923414249,5598.811223475
"Litware ","2016","Australia","44.74","7.00",370.95013200000085,4815.668932,5186.619064
"Tailspin Toys","2016","Canada","1.84","6.27",280.1638766675005,4755.8779707845,5036.041847452
"Northwind Traders","2016","Germany","2.62","5.25",281.4927353940011,4519.991738856001,4801.484474250002
"Southridge Video","2016","France","3.69","4.42",155.90428735339992,4276.8804578966,4432.78474525
"Northwind Traders","2016","Italy","2.38","3.47",120.9531589950002,4112.42087223,4233.374031225
"Adventure Works ","2016","United States","8.16","6.00",153.670959999999,4062.0810400000005,4215.7519999999995
"Litware ","2016","Netherlands","0.00","0.00",0,3631.0828800000004,3631.0828800000004
"Tailspin Toys","2016","Australia","1.59","5.74",190.85143588419987,3047.8936429438,3238.745078828
"Tailspin Toys","2016","Germany","1.53","5.40",152.00061684919956,2310.1603669508004,2462.1609838
"Northwind Traders","2016","Netherlands","2.35","3.89",67.76733001499997,1719.7104735600003,1787.4778035750003
"Adventure Works ","2016","Canada","10.43","7.67",58.44670975600002,1602.4875024839998,1660.9342122399999
"Northwind Traders","2016","France","0.41","1.43",4.085104646999753,1546.031800353,1550.1169049999999
"Litware ","2016","Italy","39.14","7.00",105.16975056000001,1397.2552574400002,1502.4250080000002
"Tailspin Toys","2016","Italy","1.17","5.14",63.5219544882998,1175.3355663217,1238.8575208099999
"Tailspin Toys","2016","Netherlands","1.36","4.81",45.146755381000276,1042.351911629,1087.4986670100002
"Litware ","2016","Germany","35.78","7.00",68.67021167999997,912.33281232,981.003024
"Tailspin Toys","2016","France","2.49","8.91",70.45080342453991,761.77263114946,832.223434574
"Adventure Works ","2016","United Kingdom","11.56","8.50",37.40976729599993,500.62898150399997,538.0387487999999
"Adventure Works ","2016","Italy","0.00","0.00",0,119.83751031999999,119.83751031999999
"Adventure Works ","2016","Netherlands","14.96","11.00",13.481607717599985,109.0784624424,122.56007015999998
"Adventure Works","2017","United States","54.96","5.98",111090.83703699871,1748151.8557630011,1859242.6927999998
"Wide World Importers","2017","United States","28.22","5.70",78917.34739099909,1342599.3383090026,1421516.6857000017
"Contoso","2017","United States","13.45","5.80",49803.737391999806,850306.8657079985,900110.6030999983
"The Phone Company","2017","United States","27.34","5.56",41926.497999999905,696445.702,738372.2
"Proseware","2017","United States","43.56","5.99",37979.890230999794,579563.534369,617543.4245999998
"Fabrikam","2017","United States","43.42","6.20",39007.345122000086,515068.8996779998,554076.2447999999
"Adventure Works","2017","United Kingdom","57.26","5.96",23049.86602534767,388612.1638656929,411662.0298910406
"Wide World Importers","2017","Canada","34.74","5.84",23844.117816121667,381151.71512605314,404995.8329421748
"Contoso ","2017","United States","32.65","5.67",21252.103717999766,377811.702982,399063.8066999998
"Adventure Works","2017","Canada","56.34","6.17",24629.48555951321,370210.33014631463,394839.81570582784
"Adventure Works","2017","Germany","60.91","5.82",16252.241775139642,280347.3524808183,296599.5942559579
"Adventure Works","2017","Australia","40.23","5.22",13446.170962158416,255491.79219874163,268937.96316090005
"Wide World Importers","2017","United Kingdom","39.40","6.51",15720.21689412283,236139.24365300025,251859.46054712308
"Contoso","2017","Canada","18.78","6.37",22306.025342700683,222738.69714946524,245044.72249216592
"Wide World Importers","2017","Germany","27.04","6.25",13110.136673020257,215540.6782691097,228650.81494212995
"Litware","2017","United States","20.78","4.93",10741.947684000013,189384.28171599988,200126.2293999999
"Fabrikam  ","2017","United States","64.45","6.70",14774.212000000029,187148.98799999995,201923.19999999998
"Southridge Video","2017","United States","5.72","5.92",11183.596920000127,182360.27008000005,193543.86700000017
"The Phone Company","2017","Canada","25.62","5.53",9319.975396720081,172112.02444727995,181431.99984400003
"Fabrikam","2017","Canada","54.51","6.21",10876.448424912203,164705.44535294676,175581.89377785896
"Wide World Importers","2017","Australia","19.13","5.67",6421.679268247739,159670.79963653628,166092.47890478402
"A. Datum","2017","United States","23.26","5.98",10545.672499999957,159151.98749999996,169697.65999999992
"Adventure Works","2017","Italy","73.04","6.83",12082.292894672893,154239.51413192705,166321.80702659994
"The Phone Company","2017","United Kingdom","26.12","5.51",10184.423431300005,150518.23171269998,160702.655144
"Contoso","2017","United Kingdom","12.06","6.10",10183.500077618548,149861.28206905548,160044.78214667403
"Wide World Importers","2017","Italy","36.64","5.98",7277.217899358962,118398.33486480605,125675.55276416501
"Proseware","2017","United Kingdom","34.13","5.76",8323.269026134498,113821.51349131552,122144.78251745002
"The Phone Company","2017","Germany","30.39","5.85",5745.322793720028,103143.88946027998,108889.21225400001
"Contoso","2017","Germany","11.09","6.15",7074.493943929265,100865.26050232771,107939.75444625698
"Contoso","2017","Italy","12.16","6.48",3598.331028615794,98045.11946511724,101643.45049373303
"Proseware","2017","Canada","41.66","4.89",7496.247083004433,97323.29909600352,104819.54617900796
"Fabrikam","2017","United Kingdom","35.67","5.41",6144.325358885806,90612.27508726517,96756.60044615097
"Proseware","2017","Germany","46.35","7.20",7623.867738946399,89085.75716849961,96709.624907446
"Adventure Works","2017","France","56.02","5.36",4461.953406550601,88150.7824424344,92612.735848985
"Contoso ","2017","Germany","37.30","6.25",5373.928096557793,86953.52094938622,92327.44904594401
"Adventure Works","2017","Netherlands","56.90","5.78",5689.993136592631,85232.47844230136,90922.471578894
"Litware","2017","Canada","33.63","6.27",5199.974510583415,78145.86476914959,83345.839279733
"Proseware","2017","Italy","44.78","6.48",3317.790043827088,77906.07306063091,81223.863104458
"The Phone Company","2017","Australia","23.14","5.46",4152.395326800019,75713.7975932,79866.19292000002
"Northwind Traders","2017","United States","6.02","6.30",5283.170471000063,71244.00212899999,76527.17260000005
"Fabrikam","2017","Australia","39.89","5.00",3526.3122795064846,68217.8184906855,71744.13077019199
"Contoso ","2017","Canada","42.13","6.41",4843.896856685606,68119.02167600639,72962.918532692
"Fabrikam","2017","Germany","30.14","5.45",3560.720445910876,66600.26641767315,70160.98686358402
"Fabrikam  ","2017","Canada","25.25","3.67",1855.6545170499958,57977.01212595,59832.666643
"Proseware","2017","Australia","39.58","7.04",3576.6751296599978,56823.98922989001,60400.664359550006
"Contoso","2017","Australia","8.29","5.01",2903.283654557941,55929.48089545609,58832.76455001403
"Fabrikam","2017","Italy","37.20","4.67",5088.0583099714495,54753.00773555755,59841.066045529
"The Phone Company","2017","Italy","24.92","5.64",3279.2473372800014,53928.82061272,57208.067950000004
"Contoso ","2017","United Kingdom","31.76","6.46",3725.8996763490213,53660.032054410985,57385.93173076001
"Wide World Importers","2017","France","22.58","5.45",1539.2541557990626,53293.19190981693,54832.44606561599
"Wide World Importers","2017","Netherlands","31.47","5.28",2989.9360740485063,47778.030598105506,50767.96667215401
"Southridge Video","2017","United Kingdom","5.43","5.76",2969.126145146176,46523.76114442379,49492.88728956997
"Southridge Video","2017","Canada","4.96","5.15",2125.4106853699705,40747.61085761002,42873.021542979994
"Contoso","2017","Netherlands","11.39","6.27",2551.0947716013907,38657.326612148594,41208.421383749985
"Fabrikam  ","2017","Germany","86.13","4.45",2943.999003200006,38623.600768799995,41567.599772
"Contoso ","2017","Australia","44.24","6.56",2794.6774707899967,38199.910785962995,40994.58825675299
"The Phone Company","2017","Netherlands","19.51","4.11",1437.529873200001,36642.73660679999,38080.26647999999
"The Phone Company","2017","France","30.03","6.00",2576.8273618400053,36504.477774160005,39081.30513600001
"Southridge Video","2017","Germany","5.74","6.38",2259.339685129009,35805.232679691,38064.57236482001
"Northwind Traders","2017","Canada","10.35","6.13",1668.2272854700495,35067.029086725954,36735.256372196
"Southridge Video","2017","Australia","6.83","5.79",1730.6312139441943,34653.58134154579,36384.21255548998
"A. Datum","2017","United Kingdom","23.51","5.65",2349.7482647479846,32914.91655595201,35264.664820699996
"Contoso","2017","France","21.31","6.00",2327.6738954873217,32798.009148569676,35125.683044057
"Litware ","2017","United States","37.31","6.24",1896.8540000000066,32028.045999999995,33924.9
"Tailspin Toys","2017","United States","1.71","5.70",1818.2038400000201,31522.991960000018,33341.19580000004
"Litware","2017","United Kingdom","27.09","6.00",2827.8874413615376,30507.06919507546,33334.956636437
"A. Datum","2017","Germany","23.90","5.88",2041.0791285379928,28352.429075562006,30393.5082041
"Proseware","2017","Netherlands","74.47","6.13",2783.5113907839986,27541.549685852,30325.061076635997
"Fabrikam  ","2017","United Kingdom","34.15","3.29",1362.2048281399984,24241.13062486,25603.335453
